City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Bangalore,2018-01-01,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-01-02,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,2018-01-03,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,2018-01-04,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,2018-01-05,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-01-06,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,2018-01-07,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,2018-01-08,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-01-09,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,2018-01-10,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,2018-01-11,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,2018-01-12,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,2018-01-13,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,2018-01-14,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-01-15,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,2018-01-16,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-01-17,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,2018-01-18,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,2018-01-19,100,55,108,83,114,1.05,95
Bangalore,2018-01-20,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,2018-01-21,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,2018-01-22,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,2018-01-23,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,2018-01-24,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,2018-01-25,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-01-26,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-01-27,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,2018-01-28,105,57.75,113.4,87.15,119.7,1.1,99.75
Bangalore,2018-01-29,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,2018-01-30,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-01-31,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,2018-02-01,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-02-02,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,2018-02-03,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,2018-02-04,80,44,86.4,66.4,91.2,0.84,76
Bangalore,2018-02-05,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,2018-02-06,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,2018-02-07,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,2018-02-08,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,2018-02-09,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,2018-02-10,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,2018-02-11,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,2018-02-12,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,2018-02-13,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,2018-02-14,83,45.65,89.64,68.89,94.62,0.87,78.85
Bangalore,2018-02-15,75,41.25,81,62.25,85.5,0.79,71.25
