City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,day,month,weekend,AQI_future
Bangalore,2018-01-01,68,37.4,73.44,56.44,77.52,0.71,64.6,1,1,0,76.0
Bangalore,2018-02-01,76,41.8,82.08,63.08,86.64,0.8,72.2,1,2,0,70.0
Bangalore,2018-03-01,70,38.5,75.6,58.1,79.8,0.74,66.5,1,3,0,78.0
Bangalore,2018-04-01,78,42.9,84.24,64.74,88.92,0.82,74.1,1,4,1,82.0
Bangalore,2018-05-01,82,45.1,88.56,68.06,93.48,0.86,77.9,1,5,0,90.0
Bangalore,2018-06-01,90,49.5,97.2,74.7,102.6,0.95,85.5,1,6,0,91.0
Bangalore,2018-07-01,91,50.05,98.28,75.53,103.74,0.96,86.45,1,7,1,82.0
Bangalore,2018-08-01,82,45.1,88.56,68.06,93.48,0.86,77.9,1,8,0,76.0
Bangalore,2018-09-01,76,41.8,82.08,63.08,86.64,0.8,72.2,1,9,1,76.0
Bangalore,2018-10-01,76,41.8,82.08,63.08,86.64,0.8,72.2,1,10,0,75.0
Bangalore,2018-11-01,75,41.25,81.0,62.25,85.5,0.79,71.25,1,11,0,81.0
Bangalore,2018-12-01,81,44.55,87.48,67.23,92.34,0.85,76.95,1,12,1,89.0
Bangalore,2018-01-02,89,48.95,96.12,73.87,101.46,0.93,84.55,2,1,0,89.0
Bangalore,2018-02-02,89,48.95,96.12,73.87,101.46,0.93,84.55,2,2,0,78.0
Bangalore,2018-03-02,78,42.9,84.24,64.74,88.92,0.82,74.1,2,3,0,80.0
Bangalore,2018-04-02,80,44.0,86.4,66.4,91.2,0.84,76.0,2,4,0,69.0
Bangalore,2018-05-02,69,37.95,74.52,57.27,78.66,0.72,65.55,2,5,0,82.0
Bangalore,2018-06-02,82,45.1,88.56,68.06,93.48,0.86,77.9,2,6,1,74.0
Bangalore,2018-07-02,74,40.7,79.92,61.42,84.36,0.78,70.3,2,7,0,68.0
Bangalore,2018-08-02,68,37.4,73.44,56.44,77.52,0.71,64.6,2,8,0,92.0
Bangalore,2018-09-02,92,50.6,99.36,76.36,104.88,0.97,87.4,2,9,1,84.0
Bangalore,2018-10-02,84,46.2,90.72,69.72,95.76,0.88,79.8,2,10,0,88.0
Bangalore,2018-11-02,88,48.4,95.04,73.04,100.32,0.92,83.6,2,11,0,72.0
Bangalore,2018-12-02,72,39.6,77.76,59.76,82.08,0.76,68.4,2,12,1,72.0
Bangalore,2018-01-03,72,39.6,77.76,59.76,82.08,0.76,68.4,3,1,0,88.0
Bangalore,2018-02-03,88,48.4,95.04,73.04,100.32,0.92,83.6,3,2,1,84.0
Bangalore,2018-03-03,84,46.2,90.72,69.72,95.76,0.88,79.8,3,3,1,86.0
Bangalore,2018-04-03,86,47.3,92.88,71.38,98.04,0.9,81.7,3,4,0,111.0
Bangalore,2018-05-03,111,61.05,119.88,92.13,126.54,1.17,105.45,3,5,0,89.0
Bangalore,2018-06-03,89,48.95,96.12,73.87,101.46,0.93,84.55,3,6,1,91.0
Bangalore,2018-07-03,91,50.05,98.28,75.53,103.74,0.96,86.45,3,7,0,103.0
Bangalore,2018-08-03,103,56.65,111.24,85.49,117.42,1.08,97.85,3,8,0,122.0
Bangalore,2018-09-03,122,67.1,131.76,101.26,139.08,1.28,115.9,3,9,0,127.0
Bangalore,2018-10-03,127,69.85,137.16,105.41,144.78,1.33,120.65,3,10,0,119.0
Bangalore,2018-11-03,119,65.45,128.52,98.77,135.66,1.25,113.05,3,11,1,94.0
Bangalore,2018-12-03,94,51.7,101.52,78.02,107.16,0.99,89.3,3,12,0,112.0
Bangalore,2018-01-04,112,61.6,120.96,92.96,127.68,1.18,106.4,4,1,0,92.0
Bangalore,2018-02-04,92,50.6,99.36,76.36,104.88,0.97,87.4,4,2,1,97.0
Bangalore,2018-03-04,97,53.35,104.76,80.51,110.58,1.02,92.15,4,3,1,106.0
Bangalore,2018-04-04,106,58.3,114.48,87.98,120.84,1.11,100.7,4,4,0,118.0
Bangalore,2018-05-04,118,64.9,127.44,97.94,134.52,1.24,112.1,4,5,0,116.0
Bangalore,2018-06-04,116,63.8,125.28,96.28,132.24,1.22,110.2,4,6,0,128.0
Bangalore,2018-07-04,128,70.4,138.24,106.24,145.92,1.34,121.6,4,7,0,108.0
Bangalore,2018-08-04,108,59.4,116.64,89.64,123.12,1.13,102.6,4,8,1,57.0
Bangalore,2018-09-04,57,31.35,61.56,47.31,64.98,0.6,54.15,4,9,0,66.0
Bangalore,2018-10-04,66,36.3,71.28,54.78,75.24,0.69,62.7,4,10,0,81.0
Bangalore,2018-11-04,81,44.55,87.48,67.23,92.34,0.85,76.95,4,11,1,90.0
Bangalore,2018-12-04,90,49.5,97.2,74.7,102.6,0.95,85.5,4,12,0,108.0
Bangalore,2018-01-05,108,59.4,116.64,89.64,123.12,1.13,102.6,5,1,0,87.0
Bangalore,2018-02-05,87,47.85,93.96,72.21,99.18,0.91,82.65,5,2,0,85.0
Bangalore,2018-03-05,85,46.75,91.8,70.55,96.9,0.89,80.75,5,3,0,96.0
Bangalore,2018-04-05,96,52.8,103.68,79.68,109.44,1.01,91.2,5,4,0,115.0
Bangalore,2018-05-05,115,63.25,124.2,95.45,131.1,1.21,109.25,5,5,1,84.0
Bangalore,2018-06-05,84,46.2,90.72,69.72,95.76,0.88,79.8,5,6,0,108.0
Bangalore,2018-07-05,108,59.4,116.64,89.64,123.12,1.13,102.6,5,7,0,110.0
Bangalore,2018-08-05,110,60.5,118.8,91.3,125.4,1.16,104.5,5,8,1,67.0
Bangalore,2018-09-05,67,36.85,72.36,55.61,76.38,0.7,63.65,5,9,0,64.0
Bangalore,2018-10-05,64,35.2,69.12,53.12,72.96,0.67,60.8,5,10,0,53.0
Bangalore,2018-11-05,53,29.15,57.24,43.99,60.42,0.56,50.35,5,11,0,65.0
Bangalore,2018-12-05,65,35.75,70.2,53.95,74.1,0.68,61.75,5,12,0,70.0
Bangalore,2018-01-06,70,38.5,75.6,58.1,79.8,0.74,66.5,6,1,1,79.0
Bangalore,2018-02-06,79,43.45,85.32,65.57,90.06,0.83,75.05,6,2,0,78.0
Bangalore,2018-03-06,78,42.9,84.24,64.74,88.92,0.82,74.1,6,3,0,59.0
Bangalore,2018-04-06,59,32.45,63.72,48.97,67.26,0.62,56.05,6,4,0,56.0
Bangalore,2018-05-06,56,30.8,60.48,46.48,63.84,0.59,53.2,6,5,1,57.0
Bangalore,2018-06-06,57,31.35,61.56,47.31,64.98,0.6,54.15,6,6,0,64.0
Bangalore,2018-07-06,64,35.2,69.12,53.12,72.96,0.67,60.8,6,7,0,55.0
Bangalore,2018-08-06,55,30.25,59.4,45.65,62.7,0.58,52.25,6,8,0,58.0
Bangalore,2018-09-06,58,31.9,62.64,48.14,66.12,0.61,55.1,6,9,0,53.0
Bangalore,2018-10-06,53,29.15,57.24,43.99,60.42,0.56,50.35,6,10,1,88.0
Bangalore,2018-11-06,88,48.4,95.04,73.04,100.32,0.92,83.6,6,11,0,57.0
Bangalore,2018-12-06,57,31.35,61.56,47.31,64.98,0.6,54.15,6,12,0,52.0
Bangalore,2018-01-07,52,28.6,56.16,43.16,59.28,0.55,49.4,7,1,1,62.0
Bangalore,2018-02-07,62,34.1,66.96,51.46,70.68,0.65,58.9,7,2,0,54.0
Bangalore,2018-03-07,54,29.7,58.32,44.82,61.56,0.57,51.3,7,3,0,56.0
Bangalore,2018-04-07,56,30.8,60.48,46.48,63.84,0.59,53.2,7,4,1,56.0
Bangalore,2018-05-07,56,30.8,60.48,46.48,63.84,0.59,53.2,7,5,0,62.0
Bangalore,2018-06-07,62,34.1,66.96,51.46,70.68,0.65,58.9,7,6,0,44.0
Bangalore,2018-07-07,44,24.2,47.52,36.52,50.16,0.46,41.8,7,7,1,53.0
Bangalore,2018-08-07,53,29.15,57.24,43.99,60.42,0.56,50.35,7,8,0,56.0
Bangalore,2018-09-07,56,30.8,60.48,46.48,63.84,0.59,53.2,7,9,0,56.0
Bangalore,2018-10-07,56,30.8,60.48,46.48,63.84,0.59,53.2,7,10,1,68.0
Bangalore,2018-11-07,68,37.4,73.44,56.44,77.52,0.71,64.6,7,11,0,50.0
Bangalore,2018-12-07,50,27.5,54.0,41.5,57.0,0.53,47.5,7,12,0,56.0
Bangalore,2018-01-08,56,30.8,60.48,46.48,63.84,0.59,53.2,8,1,0,52.0
Bangalore,2018-02-08,52,28.6,56.16,43.16,59.28,0.55,49.4,8,2,0,46.0
Bangalore,2018-03-08,46,25.3,49.68,38.18,52.44,0.48,43.7,8,3,0,75.0
Bangalore,2018-04-08,75,41.25,81.0,62.25,85.5,0.79,71.25,8,4,1,73.0
Bangalore,2018-05-08,73,40.15,78.84,60.59,83.22,0.77,69.35,8,5,0,56.0
Bangalore,2018-06-08,56,30.8,60.48,46.48,63.84,0.59,53.2,8,6,0,59.0
Bangalore,2018-07-08,59,32.45,63.72,48.97,67.26,0.62,56.05,8,7,1,51.0
Bangalore,2018-08-08,51,28.05,55.08,42.33,58.14,0.54,48.45,8,8,0,50.0
Bangalore,2018-09-08,50,27.5,54.0,41.5,57.0,0.53,47.5,8,9,1,58.0
Bangalore,2018-10-08,58,31.9,62.64,48.14,66.12,0.61,55.1,8,10,0,48.0
Bangalore,2018-11-08,48,26.4,51.84,39.84,54.72,0.5,45.6,8,11,0,48.0
Bangalore,2018-12-08,48,26.4,51.84,39.84,54.72,0.5,45.6,8,12,1,68.0
Bangalore,2018-01-09,68,37.4,73.44,56.44,77.52,0.71,64.6,9,1,0,55.0
Bangalore,2018-02-09,55,30.25,59.4,45.65,62.7,0.58,52.25,9,2,0,55.0
Bangalore,2018-03-09,55,30.25,59.4,45.65,62.7,0.58,52.25,9,3,0,69.0
Bangalore,2018-04-09,69,37.95,74.52,57.27,78.66,0.72,65.55,9,4,0,69.0
Bangalore,2018-05-09,69,37.95,74.52,57.27,78.66,0.72,65.55,9,5,0,64.0
Bangalore,2018-06-09,64,35.2,69.12,53.12,72.96,0.67,60.8,9,6,1,71.0
Bangalore,2018-07-09,71,39.05,76.68,58.93,80.94,0.75,67.45,9,7,0,45.0
Bangalore,2018-08-09,45,24.75,48.6,37.35,51.3,0.47,42.75,9,8,0,56.0
Bangalore,2018-09-09,56,30.8,60.48,46.48,63.84,0.59,53.2,9,9,1,68.0
Bangalore,2018-10-09,68,37.4,73.44,56.44,77.52,0.71,64.6,9,10,0,81.0
Bangalore,2018-11-09,81,44.55,87.48,67.23,92.34,0.85,76.95,9,11,0,78.0
Bangalore,2018-12-09,78,42.9,84.24,64.74,88.92,0.82,74.1,9,12,1,61.0
Bangalore,2018-01-10,61,33.55,65.88,50.63,69.54,0.64,57.95,10,1,0,46.0
Bangalore,2018-02-10,46,25.3,49.68,38.18,52.44,0.48,43.7,10,2,1,50.0
Bangalore,2018-03-10,50,27.5,54.0,41.5,57.0,0.53,47.5,10,3,1,49.0
Bangalore,2018-04-10,49,26.95,52.92,40.67,55.86,0.51,46.55,10,4,0,44.0
Bangalore,2018-05-10,44,24.2,47.52,36.52,50.16,0.46,41.8,10,5,0,41.0
Bangalore,2018-06-10,41,22.55,44.28,34.03,46.74,0.43,38.95,10,6,1,51.0
Bangalore,2018-07-10,51,28.05,55.08,42.33,58.14,0.54,48.45,10,7,0,82.0
Bangalore,2018-08-10,82,45.1,88.56,68.06,93.48,0.86,77.9,10,8,0,72.0
Bangalore,2018-09-10,72,39.6,77.76,59.76,82.08,0.76,68.4,10,9,0,88.0
Bangalore,2018-10-10,88,48.4,95.04,73.04,100.32,0.92,83.6,10,10,0,111.0
