City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Bangalore,01/01/18,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,02/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,03/01/18,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,04/01/18,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,05/01/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,06/01/18,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,07/01/18,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,08/01/18,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,09/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,10/01/18,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,11/01/18,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,12/01/18,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,13/01/18,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,14/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,15/01/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,16/01/18,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,17/01/18,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,18/01/18,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,19/01/18,100,55,108,83,114,1.05,95
Bangalore,20/01/18,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,21/01/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,22/01/18,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,23/01/18,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,24/01/18,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,25/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,26/01/18,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,27/01/18,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,28/01/18,105,57.75,113.4,87.15,119.7,1.1,99.75
Bangalore,29/01/18,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,30/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,31/01/18,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,01/02/18,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,02/02/18,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,03/02/18,78,42.9,84.24,64.74,88.92,0.82,74.1
